id,section,you_have,choose,entry_point,dont_choose,keywords
form-16,form,"2-5 MUTUALLY EXCLUSIVE choices, all visible at once",ChoiceRadioGroup,options[] + value + groupLabel,ButtonRadioGroup if it's a row of config buttons,"radio group, radio buttons, choose one of a few options, pick one option, mutually exclusive choices, radio button list, single choice selector, option group, multiple choice single answer, small set of radio choices"
form-17,form,A toggle setting that takes effect IMMEDIATELY,ChoiceSwitch,isSelected + label,ChoiceCheckbox,"toggle switch, on off switch, settings toggle, switch control, enable disable toggle, instant toggle, boolean switch, flip switch, slider toggle, immediate setting toggle"
form-18,form,"ANY file of any type, I declare the mime + size myself",Dropzone,file + acceptedMimeTypes + maxSizeInBytes + hint,ImageDropzone if it's definitely an image,"file upload, drag and drop file, file dropzone, upload any file, drop file here, choose file to upload, file picker, attach file, generic file uploader, upload box"
form-19,form,"An IMAGE file, the image rules already known in advance",ImageDropzone,onFile + label + hint + icon (component),Dropzone — it makes you re-declare the rules,"image upload, photo upload, drag and drop image, upload a picture, avatar uploader, image dropzone, drop image here, picture uploader, image file picker, upload photo box"
form-20,form,A field cluster that needs Enter-to-submit + locking the whole cluster while submitting,Form,body (children) + actions + gap + onSubmit,don't expect it to handle validation,"form wrapper, submit form, form container, enter to submit, form that locks while submitting, disable form while saving, form group, input form frame, form submission handler, whole form block"
form-21,form,A long form needing field GROUPS with a title,FormSection,title + description + body,using it as a display card — it has no surface,"form section, grouped form fields, titled field group, form fieldset, section of a form, form group with heading, form category, labeled form block, group of related inputs"
form-22,form,"The final button row of a form, needing right-alignment or sticking to a modal's bottom",FormActions,items[] (same shape as ButtonGroup) + align + sticky,ButtonGroup if the button row sits in the middle of the content,"form action buttons, form footer buttons, submit and cancel row, form button bar, bottom button row, sticky form actions, form footer, save cancel buttons, modal form actions, final buttons of a form"
form-23,form,Writing a NEW FORM ATOM,FieldFrame,label/hint/errorMessage + children (control),don't use it at the block/page layer,"field wrapper, form field frame, label hint error wrapper, custom form field, field container, input field frame, form control wrapper, field with label and error message, building a new form input"
button-01,button,EXACTLY ONE action the user clicks to do,Button (atom),label (children forbidden) + prefixIcon/suffixIcon (component) + onPress,ButtonGroup if there are N actions on the same row,"button, action button, click button, primary button, single button, cta button, submit button, click to do an action, one action button"
button-02,button,A button with only an icon,Button + isIconOnly,"prefixIcon + ariaLabel (both required), omit label",don't look for Button.Icon — DELETED 2026-07-26,"icon button, icon only button, button with just an icon, small square icon button, glyph button, action icon, icon trigger button, no label button, round icon action"
